epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
1,0.851877,0.00019877,0.851877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.260589,0.00015898,0.260589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.482230,0.00019513,0.482230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.310731,0.00018916,0.310731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.251928,0.00014567,0.251928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.213729,0.00018100,0.213729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.170554,0.00017086,0.170554,0.9964,0.9894,0.0030,0.0000,0.0000,0.3978,0.2481
6,0.152915,0.00015898,0.152915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.245176,0.00013125,0.245176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.142920,0.00014567,0.142920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.137304,0.00013125,0.137304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.133097,0.00011607,0.133097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.240192,0.00011607,0.240192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.129499,0.00010050,0.129499,0.9958,0.9889,0.0123,0.0000,0.0000,0.3994,0.2503
11,0.126814,0.00008493,0.126814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.237142,0.00010050,0.237142,0.9927,0.9744,0.0011,0.0000,0.0000,0.3936,0.2439
12,0.124810,0.00006975,0.124810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.123074,0.00005533,0.123074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.121601,0.00004202,0.121601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.234805,0.00008493,0.234805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0.120642,0.00003014,0.120642,0.9965,0.9894,0.0020,0.0000,0.0000,0.3976,0.2478
16,0.119869,0.00002000,0.119869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,0.119349,0.00001184,0.119349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.232803,0.00006975,0.232803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.118939,0.00000587,0.118939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.118772,0.00000223,0.118772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.231115,0.00005533,0.231115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.118693,0.00020000,0.118693,0.9964,0.9893,0.0063,0.0000,0.0000,0.3984,0.2489
21,0.120004,0.00019969,0.118693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.118747,0.00019877,0.118693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.229944,0.00004202,0.229944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.116486,0.00019725,0.116486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.114643,0.00019513,0.114643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.113401,0.00019243,0.113401,0.9961,0.9886,0.0040,0.0000,0.0000,0.3977,0.2482
15,0.229532,0.00003014,0.229532,0.9931,0.9746,0.0006,0.0000,0.0000,0.3937,0.2438
26,0.112385,0.00018916,0.112385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.111253,0.00018534,0.111253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,0.228732,0.00002000,0.228732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.110402,0.00018100,0.110402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.109807,0.00017616,0.109807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0.109263,0.00017086,0.109263,0.9964,0.9894,0.0015,0.0000,0.0000,0.3975,0.2477
17,0.227864,0.00001184,0.227864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.108813,0.00016512,0.108813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.108431,0.00015898,0.108431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.107957,0.00015249,0.107957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.228153,0.00000587,0.227864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.107469,0.00014567,0.107469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.107035,0.00013858,0.107035,0.9966,0.9893,0.0011,0.0000,0.0000,0.3974,0.2476
19,0.227441,0.00000223,0.227441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,0.106832,0.00013125,0.106832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,0.106617,0.00012373,0.106617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.106350,0.00011607,0.106350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.227292,0.00020000,0.227292,0.9930,0.9745,0.0008,0.0000,0.0000,0.3937,0.2438
39,0.105956,0.00010831,0.105956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,0.105639,0.00010050,0.105639,0.9966,0.9893,0.0013,0.0000,0.0000,0.3974,0.2477
41,0.105436,0.00009269,0.105436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,0.228251,0.00019969,0.227292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,0.105144,0.00008493,0.105144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,0.104994,0.00007727,0.104994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,0.104928,0.00006975,0.104928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.227283,0.00019877,0.227283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.104678,0.00006242,0.104678,0.9966,0.9893,0.0006,0.0000,0.0000,0.3973,0.2475
46,0.104542,0.00005533,0.104542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.225866,0.00019725,0.225866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,0.104410,0.00004851,0.104410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.104347,0.00004202,0.104347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.104204,0.00003588,0.104204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.223996,0.00019513,0.223996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,0.104114,0.00003014,0.104114,0.9966,0.9893,0.0006,0.0002,0.0000,0.3973,0.2475
51,0.104035,0.00002484,0.104035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,0.103990,0.00002000,0.103990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.221182,0.00019243,0.221182,0.9932,0.9746,0.0002,0.0001,0.0000,0.3936,0.2437
53,0.103944,0.00001566,0.103944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.103885,0.00001184,0.103885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0.103833,0.00000857,0.103833,0.9965,0.9893,0.0006,0.0002,0.0000,0.3973,0.2475
26,0.219310,0.00018916,0.219310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.103809,0.00000587,0.103809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,0.103806,0.00000375,0.103806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.218731,0.00018534,0.218731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,0.103762,0.00000223,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,0.103762,0.00000131,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.103777,0.00020000,0.103762,0.9965,0.9893,0.0007,0.0001,0.0000,0.3973,0.2475
28,0.216670,0.00018100,0.216670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.105671,0.00019992,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,0.107419,0.00019969,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.106684,0.00019931,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.216475,0.00017616,0.216475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,0.105562,0.00019877,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,0.104946,0.00019809,0.103762,0.9965,0.9893,0.0010,0.0001,0.0000,0.3974,0.2476
30,0.214931,0.00017086,0.214931,0.9932,0.9746,0.0001,0.0007,0.0000,0.3937,0.2438
66,0.104497,0.00019725,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0.104263,0.00019626,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,0.103942,0.00019513,0.103762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.214321,0.00016512,0.214321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.103759,0.00019385,0.103759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0.103524,0.00019243,0.103524,0.9966,0.9893,0.0004,0.0000,0.0000,0.3973,0.2474
71,0.103301,0.00019086,0.103301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.212502,0.00015898,0.212502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,0.103204,0.00018916,0.103204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,0.103190,0.00018731,0.103190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,0.103028,0.00018534,0.103028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.213534,0.00015249,0.212502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,0.102687,0.00018323,0.102687,0.9967,0.9893,0.0005,0.0000,0.0000,0.3973,0.2474
76,0.102949,0.00018100,0.102687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.212169,0.00014567,0.212169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0.102844,0.00017864,0.102687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,0.102420,0.00017616,0.102420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,0.102243,0.00017357,0.102243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.212136,0.00013858,0.212136,0.9932,0.9748,0.0001,0.0003,0.0000,0.3937,0.2438
80,0.102079,0.00017086,0.102079,0.9967,0.9893,0.0007,0.0000,0.0000,0.3973,0.2475
81,0.101830,0.00016804,0.101830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
