epoch,phase,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
1,1,0.813156,0.00019877,0.813156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,0.733238,0.00019513,0.733238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,0.708077,0.00018916,0.708077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,0.690596,0.00018100,0.690596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,0.678053,0.00017086,0.678053,0.5316,0.9404,0.0298,0.0053,0.0000,0.3014,0.2439
6,1,0.669021,0.00015898,0.669021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,0.661391,0.00014567,0.661391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,0.656021,0.00013125,0.656021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,0.650942,0.00011607,0.650942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,0.647458,0.00010050,0.647458,0.5385,0.9476,0.0283,0.0030,0.0000,0.3035,0.2447
11,1,0.644079,0.00008493,0.644079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,1,0.640992,0.00006975,0.640992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,1,0.639338,0.00005533,0.639338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,1,0.637092,0.00004202,0.637092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,1,0.635742,0.00003014,0.635742,0.4774,0.9475,0.0265,0.0016,0.0000,0.2906,0.2439
16,1,0.634562,0.00002000,0.634562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,1,0.633397,0.00001184,0.633397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1,0.632635,0.00000587,0.632635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,1,0.632340,0.00000223,0.632340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,1,0.632078,0.00020000,0.632078,0.5429,0.9477,0.0279,0.0006,0.0000,0.3038,0.2440
21,1,0.641442,0.00019969,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1,0.644478,0.00019877,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,1,0.641700,0.00019725,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,1,0.637380,0.00019513,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,1,0.635139,0.00019243,0.632078,0.5410,0.9471,0.0281,0.0014,0.0000,0.3035,0.2441
26,1,0.634217,0.00018916,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,1,0.632285,0.00018534,0.632078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,1,0.630997,0.00018100,0.630997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,1,0.629155,0.00017616,0.629155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,1,0.627751,0.00017086,0.627751,0.5423,0.9476,0.0279,0.0003,0.0000,0.3036,0.2440
31,1,0.625978,0.00016512,0.625978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,1,0.624498,0.00015898,0.624498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,1,0.624220,0.00015249,0.624220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,1,0.623476,0.00014567,0.623476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,1,0.622692,0.00013858,0.622692,0.4809,0.9477,0.0263,0.0001,0.0000,0.2910,0.2435
36,1,0.622038,0.00013125,0.622038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,1,0.620690,0.00012373,0.620690,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,1,0.620043,0.00011607,0.620043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,1,0.618713,0.00010831,0.618713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,1,0.617643,0.00010050,0.617643,0.5503,0.9481,0.0275,0.0000,0.0000,0.3052,0.2439
41,1,0.616862,0.00009269,0.616862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,1,0.616421,0.00008493,0.616421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,1,0.615931,0.00007727,0.615931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,1,0.615644,0.00006975,0.615644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,1,0.614905,0.00006242,0.614905,0.5461,0.9482,0.0275,0.0000,0.0000,0.3044,0.2439
46,1,0.614417,0.00005533,0.614417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,1,0.614085,0.00004851,0.614085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,1,0.613707,0.00004202,0.613707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,1,0.613328,0.00003588,0.613328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,1,0.612861,0.00003014,0.612861,0.5503,0.9483,0.0273,0.0000,0.0000,0.3052,0.2439
51,1,0.612510,0.00002484,0.612510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,1,0.612352,0.00002000,0.612352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,1,0.612064,0.00001566,0.612064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,1,0.611836,0.00001184,0.611836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,1,0.611729,0.00000857,0.611729,0.6142,0.9481,0.0277,0.0000,0.0000,0.3180,0.2440
