epoch,loss,lr,best_loss,iou_Free,iou_Road,iou_Vehicle,iou_Pedestrian,iou_StaticObst,miou_all,miou_fg
1,0.809314,0.00009973,0.809314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.700483,0.00009892,0.700483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.655041,0.00009758,0.655041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.630074,0.00009572,0.630074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.616799,0.00009337,0.616799,0.6697,0.9752,0.0086,0.0013,0.0000,0.3309,0.2463
6,0.607542,0.00009055,0.607542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.601097,0.00008729,0.601097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0.594790,0.00008362,0.594790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.591327,0.00007960,0.591327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.587204,0.00007525,0.587204,0.7387,0.9750,0.0096,0.0016,0.0000,0.3450,0.2466
11,0.582706,0.00007063,0.582706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.579822,0.00006580,0.579822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0.576628,0.00006079,0.576628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.573938,0.00005567,0.573938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,0.572466,0.00005050,0.572466,0.7398,0.9751,0.0096,0.0005,0.0000,0.3450,0.2463
16,0.569594,0.00004533,0.569594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,0.567646,0.00004021,0.567646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0.565740,0.00003520,0.565740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.565118,0.00003037,0.565118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.563013,0.00002575,0.563013,0.7410,0.9752,0.0092,0.0021,0.0000,0.3455,0.2466
21,0.561485,0.00002140,0.561485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.560371,0.00001738,0.560371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.559670,0.00001371,0.559670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.558505,0.00001045,0.558505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.558005,0.00000763,0.558005,0.7416,0.9753,0.0096,0.0001,0.0000,0.3453,0.2462
26,0.557555,0.00000528,0.557555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.557095,0.00000342,0.557095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0.556778,0.00000208,0.556778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.556746,0.00000127,0.556746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,0.556555,0.00010000,0.556555,0.7411,0.9752,0.0096,0.0002,0.0000,0.3452,0.2462
31,0.567402,0.00009993,0.556555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.567271,0.00009973,0.556555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.565290,0.00009939,0.556555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.562470,0.00009892,0.556555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.560047,0.00009831,0.556555,0.7413,0.9752,0.0096,0.0000,0.0000,0.3452,0.2462
